"COD","CODINTEGR","TITULO","TITABREV","NIVEL","PADRE","NOTA1","NOTA2","NOTA3","VALORNOTA","REFERENCIA","NOMBRE","FECHA_NOTA"
"1088","1088","Servicios, sin sector detallado predominante","",3,"108","Se clasifican aquí lo programas y certificaciones de servicios en que no existe un sector detallado predominante (programas multidisciplinares).","","","SI","","AYUDACOD_CNEDF14",""
"99","99","Sectores desconocidos o no especificados","",1,"","","","","","","AYUDACOD_CNEDF14",""
"999","999","Sectores desconocidos o no especificados","",2,"99","","","","","","AYUDACOD_CNEDF14",""
"9999","9999","Sectores desconocidos o no especificados","",3,"999","Se incluyen en este sector los estudios desconocidos o que no se encuentran especificados en la clasificación.

Se recomienda que este código se utilice lo menos posible intentando clasificar los programas por aproximación en otros códigos de la clasificación.","","","SI","","AYUDACOD_CNEDF14",""
"00","00","Formación general, formación básica de adultos y habilidades personales","",1,"","","","","","","AYUDACOD_CNEDF14",""
"000","000","Formación general, formación básica de adultos y habilidades personales, sin sector específico indicado","",2,"00","","","","","","AYUDACOD_CNEDF14",""
"0000","0000","Formación general, formación básica de adultos y habilidades personales, sin sector específico indicado","",3,"000","","","","","","AYUDACOD_CNEDF14",""
"001","001","Formación general","",2,"00","","","","","","AYUDACOD_CNEDF14",""
"0011","0011","Formación general","",3,"001","Los programas de formación general son programas diseñados para dar una educación básica en lectura, escritura y aritmética, así como un conocimiento general en otras asignaturas como historia, geografía, ciencias naturales, ciencias sociales, arte y música, y en algunos casos formación religiosa.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Programas y certificaciones de nivel primario y secundario básico
- 	Programas y certificaciones generales de nivel secundario sin énfasis en ningún tema especial
- 	Programas y títulos de bachiller","","","SI","","AYUDACOD_CNEDF14",""
"002","002","Formación  básica de adultos en competencias lingüísticas y matemáticas","",2,"00","","","","","","AYUDACOD_CNEDF14",""
"0021","0021","Formación  básica de adultos en competencias lingüísticas y matemáticas","",3,"002","Los programas de formación básica de adultos en competencias lingüísticas y matemáticas están enfocados fundamentalmente a adultos sin formación, diseñados para enseñar lectura básica, escritura y en algunos casos aritmética. El rango de edades típico se puede usar para distinguir entre el sector 0011 Formación general y este sector.
Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Alfabetización de adultos, aritmética","","","SI","","AYUDACOD_CNEDF14",""
"003","003","Habilidades personales","",2,"00","","","","","","AYUDACOD_CNEDF14",""
"0031","0031","Habilidades personales","",3,"003","Los programas de desarrollo personal se pueden definir por referencia a los efectos en la destreza o capacidad individual (mental, social, ...). Este sector cubre los programas de desarrollo personal, no incluidos en 0011 Formación general o en 0021 Formación básica de adultos en competencias lingüísticas y matemáticas.

Comprende los programas educativos con los siguientes contenidos principales 

- 	Programas de búsqueda de empleo
- 	Programas de autoestima, desarrollo de aptitudes mentales
- 	Capacidad organizativa, aptitudes de comunicación
- 	Desarrollo de la autonomía personal y la integración social (discapacitados psíquicos)","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	Los estudios de liderazgo en el contexto de la gestión administrativa (véase 345)","","SI","","AYUDACOD_CNEDF14",""
"01","01","Educación","",1,"","","","","","","AYUDACOD_CNEDF14",""
"011","011","Formación de docentes y ciencias de la educación","",2,"01","","","","","","AYUDACOD_CNEDF14",""
"0110","0110","Formación de docentes y ciencias de la educación, sin sector detallado indicado","",3,"011","","","","","","AYUDACOD_CNEDF14",""
"0111","0111","Ciencias de la educación","",3,"011","Ciencias de la educación es el estudio de los procesos de aprendizaje y las teorías, métodos y técnicas para impartir conocimiento a otros.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Ciencias de la educación, pedagogía y didáctica
- 	Evaluación de los conocimientos, pruebas y mediciones","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	Los programas de formación para docentes que imparten clases en niveles específicos de educación (véase 0112-0114)","","SI","","AYUDACOD_CNEDF14",""
"0112","0112","Formación de docentes de enseñanza infantil","",3,"011","La formación de docentes de enseñanza infantil es el estudio de las teorías, métodos y práctica de enseñanza a niños hasta la edad de 6 años en el ámbito previo al primario.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Enseñanzas destinadas a la formación de profesores de educación infantil","","","SI","","AYUDACOD_CNEDF14",""
"0113","0113","Formación de docentes de enseñanza primaria","",3,"011","La formación de docentes de enseñanza primaria es el estudio de las teorías, métodos y práctica de dar a los niños de entre 6 y 12 años una educación básica en lectura, escritura y matemáticas, así como un conocimiento elemental de otras asignaturas como historia, geografía, ciencias sociales, etc. La formación del profesorado destinado a enseñar a los niños de educación especial se incluye en este sector, del mismo modo que la formación destinada a enseñar a los adultos la lectura y escritura básicas, así como la enseñanza básica de las lenguas españolas a inmigrantes (o a cualquier otro).

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Enseñanzas para la formación de maestros
- 	Enseñanzas para la formación de profesores de educación básica de adultos
- 	Enseñanzas para la formación de profesores de Enseñanza primaria
- 	Enseñanza de profesores de educación especial","","","SI","","AYUDACOD_CNEDF14",""
"0114","0114","Formación de docentes de educación secundaria y formación profesional","",3,"011","La formación de docentes de educación secundaria y formación profesional es el estudio de las teorías, métodos y práctica de enseñar un tema especial fundamentalmente a nivel secundario o superior .

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Enseñanza a profesores de secundaria
- 	Enseñanzas destinadas a la formación de profesores en las materias propias de la formación profesional
- 	Formación de formadores de formación profesional y formación para el empleo
- 	Enseñanzas destinadas a la formación de profesores de artes plásticas, diseño, música, educación física, ... 
- 	Enseñanza a profesores de autoescuela","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	La enseñanza de entrenadores deportivos (véase 1014)","","SI","","AYUDACOD_CNEDF14",""
"018","018","Educación, sin sector detallado predominante","",2,"01","","","","","","AYUDACOD_CNEDF14",""
"0188","0188","Educación, sin sector detallado predominante","",3,"018","Se clasifican aquí lo programas y certificaciones de Educación en que no existe un sector detallado predominante (programas multidisciplinares).","","","SI","","AYUDACOD_CNEDF14",""
"02","02","Artes, humanidades y lenguas","",1,"","","","","","","AYUDACOD_CNEDF14",""
"020","020","Artes, humanidades y lenguas, sin sector específico indicado","",2,"02","","","","","","AYUDACOD_CNEDF14",""
"0200","0200","Artes, humanidades y lenguas, sin sector específico indicado","",3,"020","","","","","","AYUDACOD_CNEDF14",""
"021","021","Artes","",2,"02","","","","","","AYUDACOD_CNEDF14",""
"0210","0210","Artes, sin sector detallado indicado","",3,"021","","","","","","AYUDACOD_CNEDF14",""
"0211","0211","Técnicas audiovisuales y medios de comunicación","",3,"021","Las técnicas audiovisuales y medios de comunicación son los estudios de las técnicas y habilidades para producir libros, periódicos, producción de radio y TV, de películas/vídeos, de música grabada y reproducción gráfica. Incluye programas y certificaciones en métodos de reproducción del color, fotografía y gráficos por ordenador. También se incluye el estudio de la composición de imágenes, palabras y decoraciones para producir libros, revistas, pósters, anuncios,...

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Manejo de cámara, fotografía, maquetación
- 	Diseño gráfico, composición, reproducción gráfica, ilustración
- 	Técnicas de medios de comunicación
- 	Producción de radio y TV, producción de películas
- 	Producción de video juegos
- 	Diseño interactivo de medios
- 	Técnicas de sonido, producción de música grabada
- 	Cajista (impresión), impresión, edición, encuadernación","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	Los programas formativos para explicar el manejo de aplicaciones específicas de software para edición de publicaciones y se incluyen en el 0611 Uso de ordenadores
- 	Los estudios de periodismo y escritura y contenido de mensajes (véase 0321)","","SI","","AYUDACOD_CNEDF14",""
"0212","0212","Diseño de moda, industrial e interiorismo","",3,"021","El diseño de moda, industrial e interiorismo es el estudio de la combinación creativa de líneas, formas y telas para diseñar y fabricar, por ejemplo, prendas de moda, productos industriales y decoración de interiores.

Comprende los programas educativos y certificaciones con los siguientes contenidos principales: 

- 	Diseño de ropa y de alta costura 
- 	Diseño de productos industriales
- 	Diseño y decoración de interiores
- 	Decoración, escenografía, diseño de escaparates","No comprende los programas educativos o certificaciones con los siguientes contenidos principales: 

- 	El diseño industrial se excluye de este sector si el énfasis se hace en asuntos técnicos y no artísticos (véase 071)
- 	El diseño de publicaciones y el diseño gráfico (véase 0211)","","SI","","AYUDACOD_CNEDF14",""
