"CODIGO1","CODIGO2","CODINT1","CODINT2","COMENTARIO","VALORCOMENTARIO","FECHA","TIPO_ACTUALIZACION"
"01410","8130","AA01410","N8130","Plantación, cuidado y mantenimiento de parques y jardines en viviendas, edificios de todo tipo y terrenos municipales.
Plantación, cuidado y mantenimiento de plantas para edificios, terrenos deportivos, extensiones y cursos de agua.","","",""
"01410","0161","AA01410","A0161","Actividades agrícolas por cuenta de terceros
Preparación del terreno de cultivo, fumigación de los cultivos incluida la aérea,, poda, transplante, control de plagas, mantenimiento de las condiciones agrarias, provisión de maquinaria agraria con operario.","","",""
"01410","0163","AA01410","A0163","Preparación de los cultivos para el mercado primario.
Desmotado de algodón","","",""
"01420","0162","AA01420","A0162","","","",""
"01501","0170","AA01501","A0170","Caza y captura de animales para obtener carne, pieles, cueros o para investigación, zoologicos o animales de compañía.
Producción de peleteria, pieles de reptiles y aves procedentes de caza.
Captura de mamiferos marinos como focas y morsas.","","",""
"01503","0170","AA01503","A0170","Servicios relacionados con la caza como el mantenimiento y la vigilancia de cotos.","","",""
"02011","0230","AA02011","A0230","Recolección de productos forestales silvestres: balata, corcho, bellotas, musgos, líquenes, crines.","","",""
"02011","0210","AA02011","A0210","Cultivo de madera en pie: plantación, repoblación, transplante, raleo, etc.
Cultivo de sotos, madera para pasta y para combustible.
Explotación de viveros forestales.","","",""
"02011","0129","AA02011","A0129","Cultivo de árboles de Navidad.
Cultivo de materias vegetales del tipo utilizado en cestería y espartería.","","",""
"02012","0220","AA02012","A0220","Producción de madera para las industrias.
Producción de madera en bruto para estacas, puntales de minas, etc.","","",""
"02020","0240","AA02020","A0240","","","",""
"05010","0311","BB05010","A0311","Pesca maritima con fines comerciales.
Captura de moluscos y crustáceos marinos.
Captura de ballena.
Captura de animales acuáticos marinos: tortugas, erizos de mar.
Captura de otros organismos y materiales marinos: perlas naturales, esponjas, coral y algas.","","",""
"05010","0312","BB05010","A0312","Pesca comercial en aguas continentales.
Captura de moluscos y crustáceos de cagua dulce.
Captura de animales acuáticos de agua dulce.","","",""
"05021","0322","BB05021","A0322","Cultivos y semicultivos de especies animales o vegetales acuaticas en aguas continentales.
Cultivo de crustaceos, bivalvos y otros animales acuáticos de agua dulce.","","",""
"05022","0321","BB05022","A0321","Cultivos y semicultivos de especies animales o vegetales acuaticas en aguas marinas.
Cultivo de algas comestibles.
Producción de animales y vegetales acuáticos en aguas salobres.","","",""
"10101","1920","CA10101","C1920","Fabricación de briquetas de antracita.","","",""
"10101","0510","CA10101","B0510","Extracción de antracita de cualquier forma.
Lavado, cribado, pulverización y clasificación de antracita.","","",""
"10101","0990","CA10101","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"10102","1920","CA10102","C1920","Fabricación de briquetas de hullla.","","",""
"10102","0510","CA10102","B0510","Extracción de hulla de cualquier forma.
Lavado, cribado, pulverización y clasificación de hulla.","","",""
"10102","0990","CA10102","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"10103","1920","CA10103","C1920","Fabricación de briquetas de hulla subituminosa.","","",""
"10103","0510","CA10103","B0510","Extracción de hulla subituminosa.
Lavado, cribado, pulverización y clasificación de hulla subituminosa.","","",""
"10103","0990","CA10103","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"10200","0520","CA10200","B0520","Extracción de lignito por cualquier metodo.
Lavado, deshidratación, pulverización, compresión de lignito.","","",""
"10200","0990","CA10200","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"10200","1920","CA10200","C1920","Fabricación de briquetas de lignito.","","",""
"10300","0892","CA10300","B0892","Extracción de turba.
Preparación de la turba para una mejor calidad, transporte o almacenamiento.","","",""
"10300","0990","CA10300","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"11100","0610","CA11100","B0610","Extracción de crudo de petróleo. 
Extracción de esquisto, pizarra y arenas bituminosas.
Producción de crudos de petróleo a partir de arenas y pizarras bitumnosas.
Procesos para obtener el crudo: desalinación.
Extracción de metano, etano, butano y propano.","","",""
"11100","0620","CA11100","B0620","Producción de hidrocarburos, drenaje y separación, desulfurización.
Obtención de condensados.
Drenaje y separación de fracciones de hidrocarburos líquidos.
Desulfuración de gas.
Obtención de hidrocarburos líquidos mediante licuefacción.","","",""
"11200","0910","CA11200","B0910","Servicios de los yacimientos de petroleo y gas natural prestados por cuenta de terceros. 
Perforación dirigida, repetida, de inicio.
Construcción in situ, reparación y desmantelamiento de torres de perfortación, bombeo, cegamiento y clausura de pozos.","","",""
"12000","0721","CA12000","B0721","","","",""
"12000","0990","CA12000","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"13100","0990","CB13100","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"13100","0710","CB13100","B0710","","","",""
"13201","0729","CB13201","B0729","Extracción y preparación de minerales como cobre, plomo y cinc.","","",""
"13201","0990","CB13201","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"13202","0729","CB13202","B0729","Extracción y preparación de minerales preciosos: oro, plata y platino.","","",""
"13202","0990","CB13202","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"13203","0729","CB13203","B0729","Extracción y preparación de minerales no ferreos: aluminio,estaño, manganeso, cromo, níquel, cobalto, molibdeno.","","",""
"13203","0990","CB13203","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"14111","0990","CB14111","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"14111","0811","CB14111","B0811","Extracción, debastado y troceado por aserrado de marmol.
Trituración y fragmentación del mismo.","","",""
"14112","0990","CB14112","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"14112","0811","CB14112","B0811","Extracción, debastado y troceado por aserrado de granito.
Trituración y fragmentación del mismo.","","",""
"14113","0990","CB14113","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"14113","0811","CB14113","B0811","Extracción, debastado y troceado por aserrado de basalto, porfido, arenisca.
Trituración y fragmentación de los mismos.","","",""
"01410","3600","AA01410","E3600","Comunidad de regantes","","16/03/2010","NUEVO"
"18302","1420","DB18302","C1420","Confección de prendas de vestir y accesorios de piel.
Articulos de piel ensamblada, como las obtenidas por estirado, láminas, cintas, etc
Artículos de peletería diversos: alfombras, pufes sin rellenar.
Trapería para la limpieza industrial.","","",""
"19100","1511","DC19100","C1511","Preparación, curtido y acabado de cuero.
Fabricación de cueros agamuzados, apergaminados, acharolados y metalizados.
Fabricación de cuero artificial o regenerado basado en cuero natural.","","",""
"14121","0811","CB14121","B0811","Extracción de yeso y anhidrita.","","",""
"14121","0990","CB14121","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"14122","0811","CB14122","B0811","Extracción de creta.","","",""
"14122","0990","CB14122","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"14123","0811","CB14123","B0811","Extracción, molienda y trituración de piedra caliza.
Extracción de dolomita.","","",""
"14123","0990","CB14123","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"14130","0990","CB14130","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"14130","0811","CB14130","B0811","Extracción de pizarra.","","",""
"92202","5918","OO92202","J5918","Distribucion de programas de televisión.","","",""
"01502","0170","AA01502","A0170","","","",""
"20522","1629","DD20522","C1629","","","",""
"26140","2314","DI26140","C2314","","","",""
"26702","2370","DI26702","C2370","","","",""
"51230","4623","GG51230","G4623","","","",""
"51532","4673","GG51532","G4673","","","",""
"52430","4772","GG52430","G4772","","","",""
"74833","8299","KK74833","N8299","","","",""
"74602","8010","KK74602","N8010","","","",""
"14210","0812","CB14210","B0812","Extraccion y dragado de arena industrial, arena para la construcción y grava.
Trituración y molienda de grava y arena.","","",""
"14210","0990","CB14210","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"14221","0990","CB14221","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"14221","0812","CB14221","B0812","Extracción de caolín.","","",""
"14222","0990","CB14222","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"14222","0812","CB14222","B0812","Extracción de arcilla y tierras refractarias.","","",""
"14301","0891","CB14301","B0891","Extracción de fosfatos naturales.","","",""
"14301","0990","CB14301","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"14302","0891","CB14302","B0891","Extracción de sales de potasio naturales.","","",""
"14302","0990","CB14302","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"14303","0891","CB14303","B0891","Extracción de azufre.
Extracción y preparación de piritas y pirrotita, excepto el tostado.","","",""
"14303","0990","CB14303","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"14304","0891","CB14304","B0891","Extracción de tierras colorantes, espato fluor, fluorita y otros minerales valorados como fuente de productos químicos.","","",""
"14304","0990","CB14304","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"14305","0891","CB14305","B0891","Extracción de sulfatos y de carbonatos de bario naturales (baritina y witherita), de boratos naturales, de sulfatos de magnesio naturales (kieserita).","","",""
"14305","0990","CB14305","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"14401","1084","CB14401","C1084","Producción de salmueras y otras soluciones salinas procedentes de sal marina para la alimentación humana.","","",""
"14401","0893","CB14401","B0893","Producción de sal por evaporación del agua de mar y de otras aguas salinas.
Molido, purificación y refinado de la sal marina.","","",""
"14401","0990","CB14401","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
"14402","1084","CB14402","C1084","Producción de salmueras y otras soluciones salinas procedentes de sal manantial y sal gema para la alimentación humana.","","",""
"14402","0893","CB14402","B0893","Extracción de sal de yacimientos subterráneos, incluido el bombeo y la disolución.
Molido, purificación y refinado de la sal manantial y gema.","","",""
"14402","0990","CB14402","B0990","Servicios de apoyo, por terceros, en los trabajos de extracción como perforación, prospección, sondeo, bombeo...","","",""
